Word,Frequency
dumadi,1650
kurban,1647
ngungkuli,1647
minangka,1646
banget,1645
lo,1643
dhêmên,1643
gêntos,1641
kawon,1640
sontên,1638
arga,1636
marêk,1635
dinuta,1632
nistha,1631
isun,1630
gampang,1629
abang,1627
wuntat,1627
layon,1626
wêktu,1624
putu,1623
sakèh,1623
endah,1621
babagan,1617
bibi,1616
dhalang,1614
nyariyosakên,1613
kuna,1610
adil,1610
déning,1610
nger,1608
kaèksi,1608
nyandhak,1607
cidra,1607
lama,1606
ngawontênakên,1606
wolu,1605
santun,1605
ndra,1604
paulus,1602
panggawe,1600
sakalihan,1600
macan,1598
wardaya,1597
uwa,1597
karna,1595
upaminipun,1595
sêdhêng,1593
têmênan,1590
sagantên,1588
danawa,1586
wèh,1582
ulah,1578
jayèngraga,1577
ngupaya,1574
anut,1574
ngarêp,1574
mêsat,1574
pitakèn,1573
menèh,1572
linuwih,1570
ngayogya,1570
wêsi,1568
kawastanan,1566
dawud,1566
suda,1565
samêkta,1565
babad,1564
salam,1563
uning,1562
mêthuk,1561
misuwur,1558
kraton,1558
kamar,1557
akarya,1554
kumpul,1554
cêbolang,1554
wuwus,1553
udan,1552
maneh,1552
madiun,1552
sangsara,1549
gêsangipun,1549
mangrêtos,1544
mitra,1538
maling,1537
ke,1536
jagat,1535
anggadhahi,1535
ngambah,1534
tilêm,1534
pêputra,1534
angèl,1533
dhèk,1533
dari,1530
limrahipun,1528
agawe,1523
sagara,1521
kalihipun,1519
jurang,1519
sêkti,1519
rad,1518
wotsari,1518
sudagar,1517
turut,1515
nêmu,1514
raharja,1513
tani,1512
sasmita,1512
adiningrat,1512
wedang,1512
kiyi,1511
rêkyana,1511
ngisor,1508
samono,1507
basuki,1506
ning,1504
tumrapipun,1504
ngalih,1503
dêdamêl,1503
candhi,1502
sam,1502
parta,1502
sêkul,1500
darma,1499
parlu,1499
kudus,1498
golèk,1494
prihatin,1493
awis,1492
tatu,1490
wisnu,1490
yyang,1490
warnane,1488
netra,1488
tumêka,1488
angucap,1488
sinungan,1487
maesa,1487
dasamuka,1487
kadhiri,1486
wolung,1485
ran,1485
yahudi,1484
maju,1483
iji,1483
asmara,1483
tiongkok,1480
sajati,1478
sapi,1477
mabur,1476
samar,1476
wiratha,1476
saben,1474
sakeca,1474
apik,1474
wayang,1473
pados,1472
perangan,1471
sadalu,1471
mba,1471
nabda,1470
mêsir,1469
dhatêngipun,1466
mênang,1466
cêkap,1464
susunan,1462
lêgi,1461
pat,1460
yohanes,1460
rêbo,1459
animbali,1457
bêkti,1456
nglampahi,1454
solah,1454
naranata,1454
lingira,1452
wuku,1451
samêngko,1450
madya,1450
ron,1449
tinon,1449
dhapur,1448
êmban,1447
katiga,1446
der,1445
kulon,1444
bingah,1444
kasoran,1443
obah,1442
cinandhak,1442
prayitna,1442
dhèwèke,1442
ntra,1440
siwi,1440
risak,1439
suta,1439
utami,1438
mangun,1436
pakubuwana,1435
raras,1434
wilujêng,1433
sakala,1432
jangkêp,1432
mêdayin,1432
api,1431
bodho,1431
ngungsi,1429
kawêdalakên,1428
mukmin,1427
ujar,1425
lêlampahanipun,1422
pangagêng,1421
lagu,1420
nonah,1420
miyarsi,1417
wênèh,1417
widi,1415
lor,1414
mêkah,1413
eman,1412
balung,1411
pêngging,1411
panggalihipun,1410
motor,1410
satêmêne,1407
warta,1406
apatih,1406
wanara,1405
mêksih,1401
kulit,1400
tinimbalan,1400
eropah,1399
tulus,1398
litnan,1398
tumungkul,1396
pusaka,1395
tulung,1394
bêndara,1394
patrap,1393
kadulu,1393
wartos,1392
wor,1392
setan,1391
kêmis,1391
bingung,1390
timbalan,1390
sumêlang,1389
munya,1389
anuju,1388
sênèn,1386
suwung,1385
ayam,1385
awas,1385
mangkunagaran,1385
guling,1383
woh,1382
sataun,1382
tut,1382
matèni,1381
mubêng,1381
rêmbug,1381
tinêngêran,1381
kuran,1379
nayaka,1378
wangsulan,1377
anane,1375
loji,1374
lêpat,1374
sayah,1372
bakda,1370
mpa,1370
kapurih,1369
pirantos,1366
zijn,1366
dwarawati,1365
pabrik,1363
papa,1362
munjuk,1360
voor,1360
jajar,1357
turira,1357
nyana,1356
met,1356
die,1351
sabin,1351
dulu,1350
karsanira,1350
bin,1347
tunggil,1346
nalar,1344
isin,1343
pintêr,1342
owah,1341
iwak,1340
juragan,1340
titah,1339
br,1339
anênggih,1339
enak,1338
andangu,1338
angên,1338
sung,1337
nom,1335
tarub,1334
dagang,1334
babarpisan,1333
an,1333
wonge,1332
matura,1332
kapatihan,1331
waé,1328
liring,1328
timur,1327
adangu,1326
amiyarsa,1326
kandhêg,1325
kuta,1324
tutur,1323
rêbut,1323
sungkawa,1322
panuwun,1321
putus,1321
kawrat,1321
op,1321
bêgja,1321
unggul,1319
luhung,1319
putraning,1317
anjog,1316
limang,1316
nurut,1316
saudara,1316
samarang,1315
janmi,1315
ngabêkti,1314
lêga,1314
jêjuluk,1314
durjana,1313
maharaja,1312
sêpi,1312
jipang,1312
sadurunge,1311
siya,1308
ngudi,1307
biyèn,1307
andhèrèk,1307
bêbaya,1306
gandrung,1306
kapengin,1305
jayèngmurti,1305
umiring,1304
mari,1303
kampung,1303
niku,1302
sajawining,1302
pretyaya,1302
bapak,1301
diwasa,1301
masthi,1301
anglakoni,1301
balane,1300
dhawuhing,1300
nak,1299
truk,1299
lawase,1297
angger,1297
wanti,1297
pinaringan,1295
sokur,1292
saupama,1291
katêmu,1291
têkèng,1290
sêmbada,1290
tinilar,1289
pakaryan,1288
sajatosipun,1286
jaga,1285
gong,1285
lyan,1285
sawise,1284
ngalaga,1284
praptaning,1283
sadintên,1283
sêpur,1282
tilas,1280
gapura,1280
asung,1280
pathêt,1280
gègèr,1278
ngaku,1277
wilis,1277
nêgara,1276
langgêng,1275
warninipun,1274
kursi,1274
nampani,1271
dinulu,1271
pilih,1270
tingal,1270
kajêngipun,1270
nêtêpi,1270
atêgês,1270
sababipun,1267
ginawe,1266
widadari,1265
malêm,1264
wanadri,1263
anuli,1263
ha,1262
namaning,1261
ja,1261
door,1261
banthèng,1261
biru,1260
nana,1259
awarni,1258
nusul,1256
sapuluh,1255
têmahan,1255
lisah,1253
yu,1253
nendra,1252
têntrêm,1252
kacang,1251
rambah,1251
ratuning,1251
kêlawan,1251
kamulyan,1250
asistèn,1250
oleh,1249
lumrah,1249
upamane,1248
sabar,1246
gêrah,1246
wuwuh,1244
paukuman,1243
bilai,1242
turanggi,1242
pinarak,1241
kurawa,1241
kêris,1240
sare,1239
asli,1239
awrat,1239
aan,1239
ngta,1238
nami,1236
bangsaning,1235
palastra,1235
awang,1234
ge,1234
surapati,1234
yasa,1231
ayo,1230
kangmas,1230
anèh,1229
sasat,1228
bangkit,1228
têmbang,1228
amral,1228
rolas,1226
yêktos,1226
kagunan,1225
nyumêrêpi,1225
batur,1224
kapir,1224
kawontênaning,1224
mimis,1223
ula,1222
cocog,1222
munggah,1221
ririh,1221
mandura,1221
gupêrnur,1220
umarmaya,1219
campuh,1218
turun,1215
ngombe,1215
itu,1215
ro,1215
bau,1214
rukun,1213
èstu,1213
boten,1212
among,1212
karajan,1212
anaké,1211
abot,1210
